Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Imports,2022,848690, Parts and accessories,Belarus,50
Imports,2022,848690, Parts and accessories,Belgium,3614
Imports,2022,848690, Parts and accessories,Bulgaria,47
Imports,2022,848690, Parts and accessories,Cambodia,0
Imports,2022,848690, Parts and accessories,Canada,797
Imports,2022,848690, Parts and accessories,Chile,1
Imports,2022,848690, Parts and accessories,China,214608
Imports,2022,848690, Parts and accessories,Costa Rica,1
Imports,2022,848690, Parts and accessories,Croatia,55
Imports,2022,848690, Parts and accessories,Czech Republic,3933
Imports,2022,848690, Parts and accessories,Denmark,103
Imports,2022,848690, Parts and accessories,Dominican Republic,6
Imports,2022,848690, Parts and accessories,East Timor,10
Imports,2022,848690, Parts and accessories,El Salvador,0
Imports,2022,848690, Parts and accessories,Finland,76
Imports,2022,848690, Parts and accessories,France,3266
Imports,2022,848690, Parts and accessories,Georgia,13
Imports,2022,848690, Parts and accessories,Germany,676474
Imports,2022,848690, Parts and accessories,Guadeloupe,0
Imports,2022,848690, Parts and accessories,Hong Kong,643
Imports,2022,848690, Parts and accessories,Hungary,104
Imports,2022,848690, Parts and accessories,India,1268
Imports,2022,848690, Parts and accessories,Indonesia,688
Imports,2022,848690, Parts and accessories,Ireland,340
Imports,2022,848690, Parts and accessories,Israel,19013
Imports,2022,848690, Parts and accessories,Italy,531
Imports,2022,848690, Parts and accessories,Japan,1233249
Imports,2022,848690, Parts and accessories,Kazakhstan,16
Imports,2022,848690, Parts and accessories,Korea Republic of,410455
Imports,2022,848690, Parts and accessories,Latvia,3
Imports,2022,848690, Parts and accessories,Liechtenstein,823
Imports,2022,848690, Parts and accessories,Lithuania,2
Imports,2022,848690, Parts and accessories,Malaysia,184114
Imports,2022,848690, Parts and accessories,Mexico,48099
Imports,2022,848690, Parts and accessories,Montenegro,0
Imports,2022,848690, Parts and accessories,Nepal,19
Imports,2022,848690, Parts and accessories,Netherlands,954169
Imports,2022,848690, Parts and accessories,New Zealand,2984
Imports,2022,848690, Parts and accessories,Philippines,2532
Imports,2022,848690, Parts and accessories,Poland,1169
Imports,2022,848690, Parts and accessories,Portugal,10
Imports,2022,848690, Parts and accessories,Puerto Rico,3
Imports,2022,848690, Parts and accessories,Romania,10
Imports,2022,848690, Parts and accessories,Sao Tome and Principe,2
Imports,2022,848690, Parts and accessories,Singapore,656526
Imports,2022,848690, Parts and accessories,Slovakia,650
Imports,2022,848690, Parts and accessories,Slovenia,114
Imports,2022,848690, Parts and accessories,Spain,74
Imports,2022,848690, Parts and accessories,Sri Lanka,58
Imports,2022,848690, Parts and accessories,Sweden,315
Imports,2022,848690, Parts and accessories,Switzerland,13067
Imports,2022,848690, Parts and accessories,Taiwan ROC,52955
Imports,2022,848690, Parts and accessories,Thailand,2675
Imports,2022,848690, Parts and accessories,Tunisia,3
Imports,2022,848690, Parts and accessories,T?rkiye,11
Imports,2022,848690, Parts and accessories,Ukraine,4
Imports,2022,848690, Parts and accessories,United Kingdom,9552
Imports,2022,848690, Parts and accessories,United States,3584297
Imports,2022,848690, Parts and accessories,Viet Nam,11139
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Austria,4
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Belgium,228
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Bulgaria,0
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Canada,2811
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),China,187147
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Costa Rica,9
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Denmark,36
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Finland,494
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),France,1186
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Germany,273347
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Hong Kong,14906
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Hungary,1777
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),India,35
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Israel,186974
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Italy,32709
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Japan,526278
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Korea Republic of,46119
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Liechtenstein,35
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Lithuania,6
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Malaysia,654823
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Mexico,5174
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Netherlands,1866
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Philippines,20255
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Poland,5
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Singapore,54887
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Slovakia,357
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),South Africa,1
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Switzerland,96
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Taiwan ROC,6508
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Thailand,151
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Ukraine,3
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),United Kingdom,921
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),United States,157542
Imports,2022,903082, For measuring or checking semiconductor wafers or devices (including integrated circuits),Viet Nam,70
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Austria,617
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Chile,344
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,China,104909
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Denmark,63
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Germany,105
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Hong Kong,629
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,India,124
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Indonesia,1
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Italy,400
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Japan,111193
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Korea Republic of,2167
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Lao People's Democratic Republic,301
Exports,2022,280461, Containing by weight not less than 99.99% of silicon,Malaysia,8857
