reporter_code,total_exports,year
CAN,19332521.174,2019
CAN,3658730.963,2019
CAN,435690002.862,2019
CAN,1699669895.749,2019
CAN,7467250.887,2019
CAN,202470.11,2019
CAN,345102.718,2019
CAN,2008082.835,2019
CAN,6612891.028,2019
CAN,186471597.471,2019
CAN,39245710.759,2019
CAN,2239733.826,2019
CAN,5827868.265,2019
CAN,55205992.451,2019
CAN,42300876.754,2019
CAN,1559927.899,2019
CAN,21962465.721,2019
CAN,226895.164,2019
CAN,158063740.805,2019
CAN,20933313.762,2019
CAN,661905204.744,2019
CAN,17547009662.387,2019
CAN,1128820.832,2019
CAN,15896.22,2019
CAN,705311933.418,2019
CAN,1946006.1,2019
CAN,17318946.904,2019
CAN,15623399.546,2019
CAN,358212.521,2019
CAN,111003829.884,2019
CAN,26249681.885,2019
CAN,289838671.551,2019
CAN,8262483.981,2019
CAN,233946950.623,2019
CAN,25314260.422,2019
CAN,205232607.651,2019
CAN,4871056.885,2019
CAN,167841784.057,2019
CAN,289305000.662,2019
CAN,41824743.837,2019
CAN,4690785.409,2019
CAN,115770188.477,2019
CAN,371347.95,2019
CAN,20186822.998,2019
CAN,322139.836,2019
CAN,65899.485,2019
CAN,20670942.087,2019
CAN,527613267.156,2019
CAN,2739670746.55,2019
CAN,10442357.694,2019
CAN,74744.118,2019
CAN,8275247.083,2019
CAN,15176732.407,2019
CAN,19408226.255,2019
CAN,2361282.518,2019
CAN,4576317495.316,2019
CAN,194611268.056,2019
CAN,677525.994,2019
CAN,388980.688,2019
CAN,99729061.49,2019
CAN,7636296.048,2019
CAN,68796365.565,2019
CAN,3901747.703,2019
CAN,85665648.631,2019
CAN,20630393.95,2019
CAN,29795840.685,2019
CAN,40907475.916,2019
CAN,24889998.43,2019
CAN,3004072678.172,2019
CAN,68583782.351,2019
CAN,57921779.302,2019
CAN,1444053205.467,2019
CAN,246806848.277,2019
CAN,110552587.051,2019
CAN,635474472.814,2019
CAN,270503941.292,2019
CAN,2442531927.75,2019
CAN,43184731.786,2019
CAN,102883368.771,2019
CAN,9508306968.03,2019
CAN,119164036.447,2019
CAN,67306871.391,2019
CAN,127035896.68,2019
CAN,4178365927.823,2019
CAN,104746941.538,2019
CAN,9988365.376,2019
CAN,2143385.741,2019
CAN,90095455.95,2019
CAN,115108.353,2019
CAN,344298828.201,2019
CAN,2530559.065,2019
CAN,67290608.121,2019
CAN,74879611.952,2019
CAN,75655104.218,2019
CAN,56451615.946,2019
CAN,13730620.272,2019
CAN,10173873.538,2019
CAN,605157010.591,2019
CAN,16535124.027,2019
CAN,20048542.989,2019
CAN,75169354.128,2019
CAN,14173222.723,2019
CAN,6833510.158,2019
CAN,5519022903.954,2019
CAN,1537024381.235,2019
CAN,33831778.838,2019
CAN,3506083.231,2019
CAN,4472605.242,2019
CAN,64796.826,2019
CAN,341585042.415,2019
CAN,44982766.089,2019
CAN,81242866.52,2019
CAN,7981131.204,2019
CAN,38514.663,2019
CAN,93517709.248,2019
CAN,3905856963.705,2019
CAN,9478002.562,2019
CAN,6178981.716,2019
CAN,4474434.464,2019
CAN,430198.862,2019
CAN,17010810.002,2019
CAN,182640.345,2019
CAN,375024105.997,2019
CAN,26404522.875,2019
CAN,4173606.16,2019
CAN,374816173.846,2019
CAN,417650.563,2019
CAN,1623144945.464,2019
CAN,7890664.216,2019
CAN,506903646.099,2019
CAN,175961773.356,2019
CAN,11661391.518,2019
CAN,13322779.073,2019
CAN,579180711.892,2019
CAN,540791236.19,2019
CAN,124886.062,2019
CAN,569270004.425,2019
CAN,214861381.994,2019
CAN,190392.871,2019
CAN,121821.531,2019
CAN,200485842.162,2019
CAN,76667045.509,2019
CAN,499374414.951,2019
CAN,8629967.727,2019
CAN,2563.323,2019
CAN,276527.609,2019
CAN,7062040.09,2019
CAN,1218516.787,2019
CAN,6549713.896,2019
CAN,11369973.12,2019
CAN,3575804.713,2019
CAN,286510.324,2019
CAN,2124024231.511,2019
CAN,58093510.639,2019
CAN,17777207.408,2019
CAN,3043738.444,2019
CAN,7132673.545,2019
CAN,3648708147.895,2019
CAN,1146453115.899,2019
CAN,30405525.672,2019
CAN,748984633.423,2019
CAN,71658434.425,2019
CAN,3835860.277,2019
CAN,267429629.889,2019
CAN,3825820.281,2019
CAN,1133438203.15,2019
CAN,449149.062,2019
CAN,18792864.424,2019
CAN,33804.058,2019
CAN,22335337.647,2019
CAN,7716588.882,2019
CAN,340038239.393,2019
CAN,1078499431.66,2019
CAN,20953466.863,2019
CAN,1636136.449,2019
CAN,664549316.531,2019
CAN,20668599.598,2019
