layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,source
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,KOR,South Korea,86230000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,MYS,Malaysia,54180000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,NLD,Netherlands,1510000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,PHL,Philippines,43799000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,SGP,Singapore,64358000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,SWE,Sweden,5431000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,THA,Thailand,3749000,Taiwan_ITA
layer1_frontend,381800,Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,2022,TWN,Chinese Taipei,USA,United States,247475000,Taiwan_ITA
layer1_frontend,848610,Machines and apparatus for the manufacture of boules or wafers,2022,TWN,Chinese Taipei,CHN,China,24839000,Taiwan_ITA
layer1_frontend,848610,Machines and apparatus for the manufacture of boules or wafers,2022,TWN,Chinese Taipei,KOR,South Korea,2771000,Taiwan_ITA
layer1_frontend,848610,Machines and apparatus for the manufacture of boules or wafers,2022,TWN,Chinese Taipei,SGP,Singapore,4310000,Taiwan_ITA
layer1_frontend,848610,Machines and apparatus for the manufacture of boules or wafers,2022,TWN,Chinese Taipei,USA,United States,8153000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,AUT,Austria,7521000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,CHN,China,662023000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,DEU,Germany,11345000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,GBR,United Kingdom,1437000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,HKG,Hong Kong SAR China,9922000,Taiwan_ITA
layer1_frontend,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,2022,TWN,Chinese Taipei,IRL,Ireland,1239000,Taiwan_ITA
