iso3_i,iso3_j,n_votes,n_agree,unga_sim
CAN,MEX,90,37,0.4111111111111111
CAN,MYS,90,35,0.3888888888888889
CAN,NLD,90,67,0.7444444444444445
CAN,NOR,90,66,0.7333333333333333
CAN,PHL,90,36,0.4
CAN,SGP,90,36,0.4
CAN,SWE,90,64,0.7111111111111111
CAN,THA,90,36,0.4
CAN,USA,90,50,0.5555555555555556
CAN,VNM,88,31,0.3522727272727273
CHE,AUT,89,81,0.9101123595505618
CHE,BEL,89,79,0.8876404494382022
CHE,CAN,89,62,0.6966292134831461
CHE,CHN,87,43,0.4942528735632184
CHE,CZE,89,75,0.8426966292134831
CHE,DEU,89,76,0.8539325842696629
CHE,DNK,89,77,0.8651685393258427
CHE,FIN,89,83,0.9325842696629213
CHE,FRA,89,71,0.797752808988764
CHE,GBR,89,66,0.7415730337078652
CHE,HUN,89,74,0.8314606741573034
CHE,IND,89,43,0.48314606741573035
CHE,IRL,89,79,0.8876404494382022
CHE,ISR,87,31,0.3563218390804598
CHE,ITA,89,77,0.8651685393258427
CHE,JPN,89,76,0.8539325842696629
CHE,KOR,89,69,0.7752808988764045
CHE,MEX,89,55,0.6179775280898876
CHE,MYS,89,50,0.5617977528089888
CHE,NLD,89,77,0.8651685393258427
CHE,NOR,89,77,0.8651685393258427
CHE,PHL,89,52,0.5842696629213483
CHE,SGP,89,52,0.5842696629213483
CHE,SWE,89,85,0.9550561797752809
CHE,THA,89,52,0.5842696629213483
CHE,USA,89,29,0.3258426966292135
CHE,VNM,87,46,0.5287356321839081
CHN,AUT,88,43,0.48863636363636365
CHN,BEL,88,42,0.4772727272727273
CHN,CAN,88,30,0.3409090909090909
CHN,CHE,87,43,0.4942528735632184
CHN,CZE,88,40,0.45454545454545453
CHN,DEU,88,41,0.4659090909090909
CHN,DNK,88,41,0.4659090909090909
CHN,FIN,88,42,0.4772727272727273
CHN,FRA,88,37,0.42045454545454547
CHN,GBR,88,36,0.4090909090909091
CHN,HUN,88,39,0.4431818181818182
CHN,IND,88,72,0.8181818181818182
CHN,IRL,88,43,0.48863636363636365
CHN,ISR,86,15,0.1744186046511628
CHN,ITA,88,41,0.4659090909090909
CHN,JPN,88,48,0.5454545454545454
CHN,KOR,88,44,0.5
CHN,MEX,88,63,0.7159090909090909
CHN,MYS,88,71,0.8068181818181818
CHN,NLD,88,43,0.48863636363636365
CHN,NOR,88,43,0.48863636363636365
CHN,PHL,88,72,0.8181818181818182
CHN,SGP,88,72,0.8181818181818182
CHN,SWE,88,42,0.4772727272727273
CHN,THA,88,71,0.8068181818181818
CHN,USA,88,12,0.13636363636363635
CHN,VNM,86,72,0.8372093023255814
CZE,AUT,90,77,0.8555555555555555
CZE,BEL,90,85,0.9444444444444444
CZE,CAN,90,68,0.7555555555555555
CZE,CHE,89,75,0.8426966292134831
CZE,CHN,88,40,0.45454545454545453
CZE,DEU,90,88,0.9777777777777777
CZE,DNK,90,87,0.9666666666666667
CZE,FIN,90,78,0.8666666666666667
CZE,FRA,90,81,0.9
CZE,GBR,90,75,0.8333333333333334
CZE,HUN,90,87,0.9666666666666667
CZE,IND,90,42,0.4666666666666667
