layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,reporter_rank,reporter_export_share,reporter_selection_reason
layer2_backend,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",2022,HKG,"China, Hong Kong SAR",IND,India,15877735.222,1,0.20348341453719776,coverage_threshold
layer2_backend,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",2022,HKG,"China, Hong Kong SAR",SGP,Singapore,44385361.565,1,0.20348341453719776,coverage_threshold
layer2_backend,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",2022,HKG,"China, Hong Kong SAR",VNM,Viet Nam,66994393.939,1,0.20348341453719776,coverage_threshold
layer2_backend,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",2022,HKG,"China, Hong Kong SAR",THA,Thailand,17259244.058,1,0.20348341453719776,coverage_threshold
layer2_backend,854121,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of less than 1W",2022,HKG,"China, Hong Kong SAR",USA,USA,45850567.13,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",AUT,Austria,5185068.449,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",CAN,Canada,6727659.114,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",CHN,China,5384733076.031,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",CZE,Czechia,3690272.326,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",FRA,France,17892664.408,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",DEU,Germany,177148964.549,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",HUN,Hungary,10164146.466,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",IRL,Ireland,1155722.243,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",ISR,Israel,6667752.715,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",ITA,Italy,5355297.281,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",JPN,Japan,138807079.16,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,66744618.84,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",MYS,Malaysia,31276683.28,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",MEX,Mexico,138732845.852,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",NLD,Netherlands,32227026.22,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",NOR,Norway,1541722.623,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",PHL,Philippines,23690631.762,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",IND,India,51408996.229,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",SGP,Singapore,104588091.244,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",VNM,Viet Nam,36377861.804,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",SWE,Sweden,7119254.139,1,0.20348341453719776,coverage_threshold
layer2_backend,854129,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",2022,HKG,"China, Hong Kong SAR",CHE,Switzerland,9702513.542,1,0.20348341453719776,coverage_threshold
